EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.00019193857965451057, 'recall': 0.0021645021645021645, 'f1-score': 0.0003526093088857546, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 4.01429087551684e-05, 'recall': 0.0014326647564469914, 'f1-score': 7.809754383224647e-05, 'support': 698}","{'precision': 4.798464491362764e-05, 'recall': 0.0005411255411255411, 'f1-score': 8.815232722143864e-05, 'support': 698}","{'precision': 0.000127042440974762, 'recall': 0.0014326647564469914, 'f1-score': 0.00023338896949171722, 'support': 698}",2.4242746829986572,0,2.8763699531555176
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",0.10190383344888687,14,0.1979604959487915
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",0.059491340070962906,28,0.07177069038152695
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 1.0, 'recall': 0.0021645021645021645, 'f1-score': 0.004319654427645788, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 1.0, 'recall': 0.0014326647564469914, 'f1-score': 0.0028612303290414874, 'support': 698}","{'precision': 0.25, 'recall': 0.0005411255411255411, 'f1-score': 0.001079913606911447, 'support': 698}","{'precision': 0.66189111747851, 'recall': 0.0014326647564469914, 'f1-score': 0.0028591408962354643, 'support': 698}",0.040902409702539444,42,0.07446363568305969
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.7837837837837838, 'recall': 0.18831168831168832, 'f1-score': 0.30366492146596863, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.7837837837837838, 'recall': 0.12464183381088825, 'f1-score': 0.21508034610630408, 'support': 698}","{'precision': 0.19594594594594594, 'recall': 0.04707792207792208, 'f1-score': 0.07591623036649216, 'support': 698}","{'precision': 0.5187795245101836, 'recall': 0.12464183381088825, 'f1-score': 0.20099311420813398, 'support': 698}",0.044555339962244034,56,0.08314859867095947
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 1.0, 'recall': 0.013888888888888888, 'f1-score': 0.0273972602739726, 'support': 144}","{'precision': 0.7474226804123711, 'recall': 0.31385281385281383, 'f1-score': 0.44207317073170727, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.75, 'recall': 0.21060171919770773, 'f1-score': 0.32885906040268453, 'support': 698}","{'precision': 0.4368556701030928, 'recall': 0.08193542568542568, 'f1-score': 0.11736760775141997, 'support': 698}","{'precision': 0.7010161580952944, 'recall': 0.21060171919770773, 'f1-score': 0.2982564618302304, 'support': 698}",0.037502773106098175,70,0.031622182577848434
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.7037037037037037, 'recall': 0.13194444444444445, 'f1-score': 0.22222222222222224, 'support': 144}","{'precision': 0.9022556390977443, 'recall': 0.2597402597402597, 'f1-score': 0.4033613445378151, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.86875, 'recall': 0.1991404011461318, 'f1-score': 0.324009324009324, 'support': 698}","{'precision': 0.401489835700362, 'recall': 0.09792117604617603, 'f1-score': 0.15639589169000934, 'support': 698}","{'precision': 0.742371688533655, 'recall': 0.1991404011461318, 'f1-score': 0.31282656329007247, 'support': 698}",0.06446493417024612,84,0.039566583931446075
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.5194805194805194, 'recall': 0.5555555555555556, 'f1-score': 0.5369127516778524, 'support': 144}","{'precision': 0.871875, 'recall': 0.6038961038961039, 'f1-score': 0.7135549872122763, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.7573839662447257, 'recall': 0.5143266475644699, 'f1-score': 0.6126279863481228, 'support': 698}","{'precision': 0.34783887987012985, 'recall': 0.2898629148629149, 'f1-score': 0.31261693472253216, 'support': 698}","{'precision': 0.68425708424813, 'recall': 0.5143266475644699, 'f1-score': 0.5830628085009776, 'support': 698}",0.03824519366025925,98,0.03105570375919342
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.526595744680851, 'recall': 0.6875, 'f1-score': 0.5963855421686746, 'support': 144}","{'precision': 0.8917910447761194, 'recall': 0.5173160173160173, 'f1-score': 0.6547945205479452, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.7412280701754386, 'recall': 0.48424068767908307, 'f1-score': 0.5857885615251299, 'support': 698}","{'precision': 0.3545966973642426, 'recall': 0.3012040043290043, 'f1-score': 0.3127950156791549, 'support': 698}","{'precision': 0.6989072348432803, 'recall': 0.48424068767908307, 'f1-score': 0.5564392357671057, 'support': 698}",0.04706256836652756,112,0.01954791322350502
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.717948717948718, 'recall': 0.3888888888888889, 'f1-score': 0.5045045045045045, 'support': 144}","{'precision': 0.896797153024911, 'recall': 0.5454545454545454, 'f1-score': 0.6783310901749664, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8579387186629527, 'recall': 0.44126074498567336, 'f1-score': 0.5827814569536425, 'support': 698}","{'precision': 0.4036864677434072, 'recall': 0.23358585858585856, 'f1-score': 0.2957088986698677, 'support': 698}","{'precision': 0.7416975645875705, 'recall': 0.44126074498567336, 'f1-score': 0.5530624818187437, 'support': 698}",0.022848917171359062,126,0.025058140978217125
