EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",2.2336175441741943,0,2.650951623916626
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",0.08228357881307602,25,0.10435064136981964
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",0.08182039856910706,50,0.07607084512710571
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.7833333333333333, 'recall': 0.10173160173160173, 'f1-score': 0.18007662835249041, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.7833333333333333, 'recall': 0.0673352435530086, 'f1-score': 0.12401055408970976, 'support': 698}","{'precision': 0.19583333333333333, 'recall': 0.025432900432900432, 'f1-score': 0.045019157088122604, 'support': 698}","{'precision': 0.5184813753581662, 'recall': 0.0673352435530086, 'f1-score': 0.11919112077199222, 'support': 698}",0.06622740626335144,75,0.048839371651411057
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.8264150943396227, 'recall': 0.474025974025974, 'f1-score': 0.6024759284731774, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8264150943396227, 'recall': 0.3137535816618911, 'f1-score': 0.45482866043613707, 'support': 698}","{'precision': 0.20660377358490567, 'recall': 0.1185064935064935, 'f1-score': 0.15061898211829436, 'support': 698}","{'precision': 0.5469968102935612, 'recall': 0.3137535816618911, 'f1-score': 0.3987734655510143, 'support': 698}",0.037582412362098694,100,0.040407873690128326
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.7857142857142857, 'recall': 0.0763888888888889, 'f1-score': 0.13924050632911392, 'support': 144}","{'precision': 0.9009433962264151, 'recall': 0.4134199134199134, 'f1-score': 0.5667655786350148, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8938053097345132, 'recall': 0.28939828080229224, 'f1-score': 0.43722943722943725, 'support': 698}","{'precision': 0.42166442048517516, 'recall': 0.12245220057720058, 'f1-score': 0.17650152124103216, 'support': 698}","{'precision': 0.758422215185474, 'recall': 0.28939828080229224, 'f1-score': 0.40386293730769235, 'support': 698}",0.0941656231880188,125,0.04643978923559189
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 1.0, 'recall': 0.09722222222222222, 'f1-score': 0.17721518987341772, 'support': 144}","{'precision': 0.8316062176165803, 'recall': 0.6948051948051948, 'f1-score': 0.7570754716981132, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8375, 'recall': 0.4799426934097421, 'f1-score': 0.610200364298725, 'support': 698}","{'precision': 0.45790155440414504, 'recall': 0.19800685425685424, 'f1-score': 0.23357266539288274, 'support': 698}","{'precision': 0.7567364936086821, 'recall': 0.4799426934097421, 'f1-score': 0.5376616837626081, 'support': 698}",0.008870375342667103,150,0.039678726345300674
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.5697674418604651, 'recall': 0.6805555555555556, 'f1-score': 0.6202531645569621, 'support': 144}","{'precision': 0.818407960199005, 'recall': 0.7121212121212122, 'f1-score': 0.761574074074074, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.7439024390243902, 'recall': 0.6117478510028653, 'f1-score': 0.6713836477987422, 'support': 698}","{'precision': 0.3470438505148675, 'recall': 0.34816919191919193, 'f1-score': 0.34545680965775905, 'support': 698}","{'precision': 0.6592421049281479, 'recall': 0.6117478510028653, 'f1-score': 0.6320396531782588, 'support': 698}",0.04570058733224869,175,0.027290793135762215
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.5, 'recall': 0.7013888888888888, 'f1-score': 0.5838150289017341, 'support': 144}","{'precision': 0.8746518105849582, 'recall': 0.6796536796536796, 'f1-score': 0.7649208282582216, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.7397504456327986, 'recall': 0.5945558739255015, 'f1-score': 0.6592533756949961, 'support': 698}","{'precision': 0.3436629526462396, 'recall': 0.3452606421356421, 'f1-score': 0.3371839642899889, 'support': 698}","{'precision': 0.6820761267768635, 'recall': 0.5945558739255015, 'f1-score': 0.6267375169300116, 'support': 698}",0.03610335290431976,200,0.02164253033697605
"{'precision': 0.9, 'recall': 0.16666666666666666, 'f1-score': 0.28125, 'support': 54}","{'precision': 0.6380368098159509, 'recall': 0.7222222222222222, 'f1-score': 0.6775244299674267, 'support': 144}","{'precision': 0.9127906976744186, 'recall': 0.6796536796536796, 'f1-score': 0.7791563275434243, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8259187620889749, 'recall': 0.6117478510028653, 'f1-score': 0.7028806584362141, 'support': 698}","{'precision': 0.6127068768725924, 'recall': 0.3921356421356421, 'f1-score': 0.4344826893777127, 'support': 698}","{'precision': 0.805424932577476, 'recall': 0.6117478510028653, 'f1-score': 0.6772510619489562, 'support': 698}",0.010153151117265224,225,0.027921369299292564
"{'precision': 1.0, 'recall': 0.07407407407407407, 'f1-score': 0.13793103448275862, 'support': 54}","{'precision': 0.8651685393258427, 'recall': 0.5347222222222222, 'f1-score': 0.6609442060085836, 'support': 144}","{'precision': 0.8174807197943444, 'recall': 0.6883116883116883, 'f1-score': 0.7473560517038779, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8278008298755186, 'recall': 0.5716332378223495, 'f1-score': 0.676271186440678, 'support': 698}","{'precision': 0.6706623147800468, 'recall': 0.3242769961519961, 'f1-score': 0.38655782304880504, 'support': 698}","{'precision': 0.7969346163437083, 'recall': 0.5716332378223495, 'f1-score': 0.6416944662098805, 'support': 698}",0.0199916809797287,250,0.02056097611784935
"{'precision': 0.5, 'recall': 0.4444444444444444, 'f1-score': 0.47058823529411764, 'support': 54}","{'precision': 0.6097560975609756, 'recall': 0.8680555555555556, 'f1-score': 0.7163323782234957, 'support': 144}","{'precision': 0.8537234042553191, 'recall': 0.6948051948051948, 'f1-score': 0.766109785202864, 'support': 462}","{'precision': 0.9, 'recall': 0.23684210526315788, 'f1-score': 0.375, 'support': 38}","{'precision': 0.7496087636932708, 'recall': 0.6862464183381088, 'f1-score': 0.7165295437546746, 'support': 698}","{'precision': 0.7158698754540737, 'recall': 0.5610368250170882, 'f1-score': 0.5820075996801193, 'support': 698}","{'precision': 0.7785459753792807, 'recall': 0.6862464183381088, 'f1-score': 0.7116853122260586, 'support': 698}",0.018673494458198547,275,0.015268517658114433
"{'precision': 0.47191011235955055, 'recall': 0.7777777777777778, 'f1-score': 0.5874125874125875, 'support': 54}","{'precision': 0.8260869565217391, 'recall': 0.6597222222222222, 'f1-score': 0.7335907335907337, 'support': 144}","{'precision': 0.9013157894736842, 'recall': 0.5930735930735931, 'f1-score': 0.7154046997389034, 'support': 462}","{'precision': 0.7647058823529411, 'recall': 0.34210526315789475, 'f1-score': 0.4727272727272727, 'support': 38}","{'precision': 0.8076190476190476, 'recall': 0.6074498567335244, 'f1-score': 0.6933769419460343, 'support': 698}","{'precision': 0.7410046851769787, 'recall': 0.593169714057872, 'f1-score': 0.6272838233673743, 'support': 698}","{'precision': 0.8451380889295128, 'recall': 0.6074498567335244, 'f1-score': 0.6960429126079586, 'support': 698}",0.032246947288513184,300,0.009035933762788773
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.8120300751879699, 'recall': 0.75, 'f1-score': 0.7797833935018051, 'support': 144}","{'precision': 0.8722358722358723, 'recall': 0.7683982683982684, 'f1-score': 0.8170310701956272, 'support': 462}","{'precision': 0.8333333333333334, 'recall': 0.13157894736842105, 'f1-score': 0.22727272727272727, 'support': 38}","{'precision': 0.8571428571428571, 'recall': 0.670487106017192, 'f1-score': 0.7524115755627009, 'support': 698}","{'precision': 0.6293998201892939, 'recall': 0.41249430394167236, 'f1-score': 0.45602179774253987, 'support': 698}","{'precision': 0.7902177227316723, 'recall': 0.670487106017192, 'f1-score': 0.7140308405888299, 'support': 698}",0.010886648669838905,325,0.04498167708516121
"{'precision': 0.875, 'recall': 0.12962962962962962, 'f1-score': 0.22580645161290322, 'support': 54}","{'precision': 0.91, 'recall': 0.6319444444444444, 'f1-score': 0.7459016393442623, 'support': 144}","{'precision': 0.9121621621621622, 'recall': 0.5844155844155844, 'f1-score': 0.712401055408971, 'support': 462}","{'precision': 1.0, 'recall': 0.10526315789473684, 'f1-score': 0.1904761904761905, 'support': 38}","{'precision': 0.9117647058823529, 'recall': 0.5329512893982808, 'f1-score': 0.6726943942133815, 'support': 698}","{'precision': 0.9242905405405406, 'recall': 0.36281320409609885, 'f1-score': 0.46864633421058177, 'support': 698}","{'precision': 0.9136230930070471, 'recall': 0.5329512893982808, 'f1-score': 0.6532532482660608, 'support': 698}",0.00934514682739973,350,0.01739266701042652
"{'precision': 0.4864864864864865, 'recall': 0.3333333333333333, 'f1-score': 0.3956043956043956, 'support': 54}","{'precision': 0.8412698412698413, 'recall': 0.7361111111111112, 'f1-score': 0.7851851851851852, 'support': 144}","{'precision': 0.9130434782608695, 'recall': 0.7727272727272727, 'f1-score': 0.8370457209847597, 'support': 462}","{'precision': 1.0, 'recall': 0.13157894736842105, 'f1-score': 0.23255813953488372, 'support': 38}","{'precision': 0.8694096601073346, 'recall': 0.6962750716332379, 'f1-score': 0.7732696897374702, 'support': 698}","{'precision': 0.8101999515042994, 'recall': 0.49343766613503454, 'f1-score': 0.562598360327306, 'support': 698}","{'precision': 0.8699702211599557, 'recall': 0.6962750716332379, 'f1-score': 0.7592860120724766, 'support': 698}",0.03984449803829193,375,0.018876153975725174
