EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 296}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 448}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 125}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 924}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 924}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 924}",0.07222320884466171,0,0.1657484471797943
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.4476987447698745, 'recall': 0.722972972972973, 'f1-score': 0.5529715762273902, 'support': 296}","{'precision': 0.8301886792452831, 'recall': 0.49107142857142855, 'f1-score': 0.61711079943899, 'support': 448}","{'precision': 0.91, 'recall': 0.728, 'f1-score': 0.8088888888888889, 'support': 125}","{'precision': 0.6227758007117438, 'recall': 0.5681818181818182, 'f1-score': 0.5942275042444822, 'support': 924}","{'precision': 0.5469718560037894, 'recall': 0.4855111003861004, 'f1-score': 0.4947428161388173, 'support': 924}","{'precision': 0.6690404293871965, 'recall': 0.5681818181818182, 'f1-score': 0.5857752552197902, 'support': 924}",0.06112391874194145,0,0.018915243446826935
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.5820224719101124, 'recall': 0.875, 'f1-score': 0.699055330634278, 'support': 296}","{'precision': 0.8013029315960912, 'recall': 0.5491071428571429, 'f1-score': 0.6516556291390729, 'support': 448}","{'precision': 0.9871794871794872, 'recall': 0.616, 'f1-score': 0.7586206896551724, 'support': 125}","{'precision': 0.7012048192771084, 'recall': 0.6298701298701299, 'f1-score': 0.6636259977194984, 'support': 924}","{'precision': 0.5926262226714227, 'recall': 0.5100267857142857, 'f1-score': 0.5273329123571309, 'support': 924}","{'precision': 0.7085062780712965, 'recall': 0.6298701298701299, 'f1-score': 0.6425213051179085, 'support': 924}",0.03846083581447601,0,0.0024085137993097305
"{'precision': 0.5217391304347826, 'recall': 0.21818181818181817, 'f1-score': 0.3076923076923077, 'support': 55}","{'precision': 0.5357142857142857, 'recall': 0.9628378378378378, 'f1-score': 0.6884057971014493, 'support': 296}","{'precision': 0.7552447552447552, 'recall': 0.7232142857142857, 'f1-score': 0.7388825541619155, 'support': 448}","{'precision': 0.8402777777777778, 'recall': 0.968, 'f1-score': 0.8996282527881041, 'support': 125}","{'precision': 0.6578014184397163, 'recall': 0.803030303030303, 'f1-score': 0.7231968810916178, 'support': 924}","{'precision': 0.6632439872929003, 'recall': 0.7180584854334854, 'f1-score': 0.6586522279359441, 'support': 924}","{'precision': 0.682523217875773, 'recall': 0.803030303030303, 'f1-score': 0.7187923254633735, 'support': 924}",0.046723514795303345,1,0.015310651622712612
"{'precision': 1.0, 'recall': 0.01818181818181818, 'f1-score': 0.03571428571428572, 'support': 55}","{'precision': 0.5872340425531914, 'recall': 0.9324324324324325, 'f1-score': 0.720626631853786, 'support': 296}","{'precision': 0.8852459016393442, 'recall': 0.48214285714285715, 'f1-score': 0.6242774566473989, 'support': 448}","{'precision': 0.8405797101449275, 'recall': 0.928, 'f1-score': 0.8821292775665398, 'support': 125}","{'precision': 0.7139507620164126, 'recall': 0.6590909090909091, 'f1-score': 0.6854248733821046, 'support': 924}","{'precision': 0.8282649135843658, 'recall': 0.5901892769392769, 'f1-score': 0.5656869129455026, 'support': 924}","{'precision': 0.790566995993817, 'recall': 0.6590909090909091, 'f1-score': 0.654991589845085, 'support': 924}",0.01886061206459999,1,0.02770264446735382
"{'precision': 0.25806451612903225, 'recall': 0.8727272727272727, 'f1-score': 0.3983402489626555, 'support': 55}","{'precision': 0.579520697167756, 'recall': 0.8986486486486487, 'f1-score': 0.7046357615894039, 'support': 296}","{'precision': 0.6964705882352941, 'recall': 0.6607142857142857, 'f1-score': 0.6781214203894615, 'support': 448}","{'precision': 0.851063829787234, 'recall': 0.96, 'f1-score': 0.9022556390977444, 'support': 125}","{'precision': 0.6028075970272502, 'recall': 0.79004329004329, 'f1-score': 0.6838407494145198, 'support': 924}","{'precision': 0.5962799078298291, 'recall': 0.8480225517725517, 'f1-score': 0.6708382675098163, 'support': 924}","{'precision': 0.6538241093090569, 'recall': 0.79004329004329, 'f1-score': 0.7002827384687298, 'support': 924}",0.0023267895448952913,1,0.06896268576383591
"{'precision': 0.4727272727272727, 'recall': 0.4727272727272727, 'f1-score': 0.4727272727272727, 'support': 55}","{'precision': 0.5953878406708596, 'recall': 0.9594594594594594, 'f1-score': 0.7347994825355758, 'support': 296}","{'precision': 0.9006211180124224, 'recall': 0.6473214285714286, 'f1-score': 0.7532467532467533, 'support': 448}","{'precision': 0.9099099099099099, 'recall': 0.808, 'f1-score': 0.8559322033898304, 'support': 125}","{'precision': 0.7264248704663212, 'recall': 0.7586580086580087, 'f1-score': 0.7421916357861301, 'support': 924}","{'precision': 0.7196615353301161, 'recall': 0.7218770401895402, 'f1-score': 0.7041764279748581, 'support': 924}","{'precision': 0.7786274896611238, 'recall': 0.7586580086580087, 'f1-score': 0.7445310797714337, 'support': 924}",0.015988117083907127,1,0.0194826889783144
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.6103896103896104, 'recall': 0.9527027027027027, 'f1-score': 0.7440633245382586, 'support': 296}","{'precision': 0.8409785932721713, 'recall': 0.6138392857142857, 'f1-score': 0.7096774193548387, 'support': 448}","{'precision': 0.9578947368421052, 'recall': 0.728, 'f1-score': 0.8272727272727272, 'support': 125}","{'precision': 0.7330316742081447, 'recall': 0.7012987012987013, 'f1-score': 0.7168141592920354, 'support': 924}","{'precision': 0.6023157351259717, 'recall': 0.5736354971042471, 'f1-score': 0.5702533677914561, 'support': 924}","{'precision': 0.7328685893577062, 'recall': 0.7012987012987013, 'f1-score': 0.6943585701768216, 'support': 924}",0.020754676312208176,2,0.0358704999089241
"{'precision': 0.48484848484848486, 'recall': 0.2909090909090909, 'f1-score': 0.3636363636363636, 'support': 55}","{'precision': 0.6042105263157894, 'recall': 0.9695945945945946, 'f1-score': 0.7444876783398184, 'support': 296}","{'precision': 0.8617283950617284, 'recall': 0.7790178571428571, 'f1-score': 0.8182883939038686, 'support': 448}","{'precision': 0.8695652173913043, 'recall': 0.96, 'f1-score': 0.9125475285171103, 'support': 125}","{'precision': 0.7345385347288297, 'recall': 0.8354978354978355, 'f1-score': 0.7817721518987341, 'support': 924}","{'precision': 0.7050881559043267, 'recall': 0.7498803856616356, 'f1-score': 0.7097399910992903, 'support': 924}","{'precision': 0.7578603415776056, 'recall': 0.8354978354978355, 'f1-score': 0.7803354916906474, 'support': 924}",0.030340084806084633,2,0.007695482112467289
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.5983263598326359, 'recall': 0.9662162162162162, 'f1-score': 0.7390180878552972, 'support': 296}","{'precision': 0.9137380191693291, 'recall': 0.6383928571428571, 'f1-score': 0.7516425755584757, 'support': 448}","{'precision': 0.9015151515151515, 'recall': 0.952, 'f1-score': 0.9260700389105058, 'support': 125}","{'precision': 0.7486457204767064, 'recall': 0.7478354978354979, 'f1-score': 0.7482403898213319, 'support': 924}","{'precision': 0.6033948826292791, 'recall': 0.6391522683397683, 'f1-score': 0.6041826755810696, 'support': 924}","{'precision': 0.756654360430426, 'recall': 0.7478354978354979, 'f1-score': 0.7264545267523576, 'support': 924}",0.012944068759679794,2,0.029984744265675545
