EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.12834961712360382,33,0.1627538949251175
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.14881646633148193,66,0.14121562242507935
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.16886886954307556,99,0.1066112220287323
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.11523502320051193,132,0.10181226581335068
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.055996764451265335,165,0.06824004650115967
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.12178041785955429,198,0.1332925707101822
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 668}",0.07525414973497391,231,0.061386313289403915
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.8, 'recall': 0.017777777777777778, 'f1-score': 0.034782608695652174, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.8, 'recall': 0.011976047904191617, 'f1-score': 0.023598820058997053, 'support': 668}","{'precision': 0.2, 'recall': 0.0044444444444444444, 'f1-score': 0.008695652173913044, 'support': 668}","{'precision': 0.5389221556886228, 'recall': 0.011976047904191617, 'f1-score': 0.02343139807341838, 'support': 668}",0.11117079108953476,264,0.09682127833366394
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.7727272727272727, 'recall': 0.03777777777777778, 'f1-score': 0.07203389830508475, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.7727272727272727, 'recall': 0.025449101796407185, 'f1-score': 0.04927536231884058, 'support': 668}","{'precision': 0.19318181818181818, 'recall': 0.009444444444444445, 'f1-score': 0.018008474576271187, 'support': 668}","{'precision': 0.520549809471965, 'recall': 0.025449101796407185, 'f1-score': 0.04852582969653913, 'support': 668}",0.08118975162506104,297,0.10286910086870193
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.8695652173913043, 'recall': 0.044444444444444446, 'f1-score': 0.08456659619450317, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.8695652173913043, 'recall': 0.029940119760479042, 'f1-score': 0.05788712011577424, 'support': 668}","{'precision': 0.21739130434782608, 'recall': 0.011111111111111112, 'f1-score': 0.021141649048625793, 'support': 668}","{'precision': 0.5857849518354595, 'recall': 0.029940119760479042, 'f1-score': 0.05696851540048867, 'support': 668}",0.04779481887817383,330,0.06323467940092087
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.8253275109170306, 'recall': 0.42, 'f1-score': 0.5567010309278351, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.8253275109170306, 'recall': 0.28293413173652693, 'f1-score': 0.42140468227424743, 'support': 668}","{'precision': 0.20633187772925765, 'recall': 0.105, 'f1-score': 0.13917525773195877, 'support': 668}","{'precision': 0.5559841016656644, 'recall': 0.28293413173652693, 'f1-score': 0.3750231495771344, 'support': 668}",0.022258130833506584,363,0.028139233589172363
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 53}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.9014778325123153, 'recall': 0.4066666666666667, 'f1-score': 0.5604900459418071, 'support': 450}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}","{'precision': 0.9014778325123153, 'recall': 0.27395209580838326, 'f1-score': 0.42020665901262916, 'support': 668}","{'precision': 0.22536945812807882, 'recall': 0.10166666666666667, 'f1-score': 0.14012251148545177, 'support': 668}","{'precision': 0.6072829710038052, 'recall': 0.27395209580838326, 'f1-score': 0.37757562975121733, 'support': 668}",0.01986980065703392,396,0.056094516068696976
