EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0006489292667099286, 'recall': 0.018518518518518517, 'f1-score': 0.0012539184952978055, 'support': 54}","{'precision': 0.00021292451825827744, 'recall': 0.027777777777777776, 'f1-score': 0.0004226096143687269, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.00024442706296441143, 'recall': 0.0071633237822349575, 'f1-score': 0.00047272383473574735, 'support': 698}","{'precision': 0.0002154634462420515, 'recall': 0.011574074074074073, 'f1-score': 0.0004191320274166331, 'support': 698}","{'precision': 9.413081809674513e-05, 'recall': 0.0071633237822349575, 'f1-score': 0.00018419395876100028, 'support': 698}",2.294644355773926,0,2.7531301975250244
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",0.10426191240549088,53,0.05997970327734947
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.8639455782312925, 'recall': 0.2748917748917749, 'f1-score': 0.4170771756978654, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8639455782312925, 'recall': 0.1819484240687679, 'f1-score': 0.30059171597633133, 'support': 698}","{'precision': 0.21598639455782312, 'recall': 0.06872294372294373, 'f1-score': 0.10426929392446635, 'support': 698}","{'precision': 0.5718379042161277, 'recall': 0.18194842406876793, 'f1-score': 0.27605967789744096, 'support': 698}",0.0513371117413044,106,0.04070301353931427
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.88, 'recall': 0.6190476190476191, 'f1-score': 0.7268106734434562, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.88, 'recall': 0.40974212034383956, 'f1-score': 0.5591397849462366, 'support': 698}","{'precision': 0.22, 'recall': 0.15476190476190477, 'f1-score': 0.18170266836086404, 'support': 698}","{'precision': 0.5824641833810889, 'recall': 0.40974212034383956, 'f1-score': 0.4810695288407977, 'support': 698}",0.025553470477461815,159,0.009887415915727615
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 1.0, 'recall': 0.05555555555555555, 'f1-score': 0.10526315789473684, 'support': 144}","{'precision': 0.8413098236775819, 'recall': 0.7229437229437229, 'f1-score': 0.7776484284051222, 'support': 462}","{'precision': 1.0, 'recall': 0.02631578947368421, 'f1-score': 0.05128205128205127, 'support': 38}","{'precision': 0.8448275862068966, 'recall': 0.49140401146131807, 'f1-score': 0.6213768115942029, 'support': 698}","{'precision': 0.7103274559193955, 'recall': 0.20120376699324066, 'f1-score': 0.23354840939547758, 'support': 698}","{'precision': 0.8176004850129552, 'recall': 0.49140401146131807, 'f1-score': 0.5392266283792643, 'support': 698}",0.015699854120612144,212,0.015716059133410454
"{'precision': 1.0, 'recall': 0.037037037037037035, 'f1-score': 0.07142857142857142, 'support': 54}","{'precision': 0.48360655737704916, 'recall': 0.8194444444444444, 'f1-score': 0.6082474226804123, 'support': 144}","{'precision': 0.8459214501510574, 'recall': 0.6060606060606061, 'f1-score': 0.7061790668348046, 'support': 462}","{'precision': 0.8, 'recall': 0.21052631578947367, 'f1-score': 0.3333333333333333, 'support': 38}","{'precision': 0.6950596252129472, 'recall': 0.5845272206303725, 'f1-score': 0.6350194552529184, 'support': 698}","{'precision': 0.7823820018820267, 'recall': 0.41826710083289026, 'f1-score': 0.4297970985692804, 'support': 698}","{'precision': 0.7805946335703202, 'recall': 0.5845272206303725, 'f1-score': 0.6165704402112732, 'support': 698}",0.010152391158044338,265,0.011358623392879963
"{'precision': 0.9230769230769231, 'recall': 0.2222222222222222, 'f1-score': 0.35820895522388063, 'support': 54}","{'precision': 0.6237623762376238, 'recall': 0.875, 'f1-score': 0.7283236994219653, 'support': 144}","{'precision': 0.839572192513369, 'recall': 0.6796536796536796, 'f1-score': 0.7511961722488039, 'support': 462}","{'precision': 0.9285714285714286, 'recall': 0.34210526315789475, 'f1-score': 0.5, 'support': 38}","{'precision': 0.7711442786069652, 'recall': 0.666189111747851, 'f1-score': 0.7148347425057648, 'support': 698}","{'precision': 0.8287457300998362, 'recall': 0.5297452912584492, 'f1-score': 0.5844322067236625, 'support': 698}","{'precision': 0.806355305517568, 'recall': 0.666189111747851, 'f1-score': 0.702399037074212, 'support': 698}",0.02534935623407364,318,0.018088405951857567
"{'precision': 0.7142857142857143, 'recall': 0.37037037037037035, 'f1-score': 0.4878048780487805, 'support': 54}","{'precision': 0.6632124352331606, 'recall': 0.8888888888888888, 'f1-score': 0.7596439169139465, 'support': 144}","{'precision': 0.8831168831168831, 'recall': 0.5887445887445888, 'f1-score': 0.7064935064935066, 'support': 462}","{'precision': 0.6857142857142857, 'recall': 0.631578947368421, 'f1-score': 0.6575342465753424, 'support': 38}","{'precision': 0.7872340425531915, 'recall': 0.6361031518624641, 'f1-score': 0.7036450079239303, 'support': 698}","{'precision': 0.7365823295875109, 'recall': 0.6198956988430673, 'f1-score': 0.6528691370078941, 'support': 698}","{'precision': 0.8139414929830179, 'recall': 0.6361031518624641, 'f1-score': 0.6978746258167701, 'support': 698}",0.022506721317768097,371,0.005041078664362431
"{'precision': 0.5333333333333333, 'recall': 0.2962962962962963, 'f1-score': 0.38095238095238093, 'support': 54}","{'precision': 0.6699507389162561, 'recall': 0.9444444444444444, 'f1-score': 0.7838616714697406, 'support': 144}","{'precision': 0.8901098901098901, 'recall': 0.7012987012987013, 'f1-score': 0.784503631961259, 'support': 462}","{'precision': 0.7419354838709677, 'recall': 0.6052631578947368, 'f1-score': 0.6666666666666666, 'support': 38}","{'precision': 0.7945859872611465, 'recall': 0.7148997134670487, 'f1-score': 0.7526395173453997, 'support': 698}","{'precision': 0.7088323615576118, 'recall': 0.6368256499835447, 'f1-score': 0.6539960877625118, 'support': 698}","{'precision': 0.8090218109194942, 'recall': 0.7148997134670487, 'f1-score': 0.7467357028116136, 'support': 698}",0.029422156512737274,424,0.008985919877886772
"{'precision': 0.6190476190476191, 'recall': 0.24074074074074073, 'f1-score': 0.3466666666666667, 'support': 54}","{'precision': 0.7530120481927711, 'recall': 0.8680555555555556, 'f1-score': 0.8064516129032259, 'support': 144}","{'precision': 0.8567774936061381, 'recall': 0.7251082251082251, 'f1-score': 0.7854630715123095, 'support': 462}","{'precision': 0.75, 'recall': 0.631578947368421, 'f1-score': 0.6857142857142857, 'support': 38}","{'precision': 0.8147540983606557, 'recall': 0.7120343839541547, 'f1-score': 0.7599388379204892, 'support': 698}","{'precision': 0.7447092902116321, 'recall': 0.6163708671932355, 'f1-score': 0.6560739091991219, 'support': 698}","{'precision': 0.8111654848343357, 'recall': 0.7120343839541547, 'f1-score': 0.7504156363236308, 'support': 698}",0.008211514912545681,477,0.0022692931815981865
