EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.00032310177705977385, 'recall': 0.018518518518518517, 'f1-score': 0.0006351222610352493, 'support': 54}","{'precision': 0.0005392289026691831, 'recall': 0.013888888888888888, 'f1-score': 0.0010381520892810798, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0001910828025477707, 'recall': 0.004297994269340974, 'f1-score': 0.00036589828027808267, 'support': 698}","{'precision': 0.00021558266993223924, 'recall': 0.008101851851851851, 'f1-score': 0.0004183185875790823, 'support': 698}","{'precision': 0.00013624134376159048, 'recall': 0.004297994269340974, 'f1-score': 0.00026331017614954005, 'support': 698}",2.3053319454193115,0,2.819261074066162
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 698}",0.05520498380064964,53,0.08444260060787201
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 1.0, 'recall': 0.013888888888888888, 'f1-score': 0.0273972602739726, 'support': 144}","{'precision': 0.8692307692307693, 'recall': 0.48917748917748916, 'f1-score': 0.6260387811634348, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8702290076335878, 'recall': 0.32664756446991405, 'f1-score': 0.4749999999999999, 'support': 698}","{'precision': 0.4673076923076923, 'recall': 0.1257665945165945, 'f1-score': 0.16335901035935185, 'support': 698}","{'precision': 0.7816398501212255, 'recall': 0.32664756446991405, 'f1-score': 0.42002166529650276, 'support': 698}",0.03906692937016487,106,0.07632158696651459
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.6759259259259259, 'recall': 0.5069444444444444, 'f1-score': 0.5793650793650794, 'support': 144}","{'precision': 0.8802816901408451, 'recall': 0.5411255411255411, 'f1-score': 0.6702412868632707, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8239795918367347, 'recall': 0.46275071633237824, 'f1-score': 0.5926605504587156, 'support': 698}","{'precision': 0.38905190401669276, 'recall': 0.2620174963924964, 'f1-score': 0.3124015915570875, 'support': 698}","{'precision': 0.7220966678773693, 'recall': 0.46275071633237824, 'f1-score': 0.5631519283085995, 'support': 698}",0.021751644089818,159,0.023947281762957573
"{'precision': 0.6470588235294118, 'recall': 0.2037037037037037, 'f1-score': 0.30985915492957744, 'support': 54}","{'precision': 0.782608695652174, 'recall': 0.75, 'f1-score': 0.7659574468085107, 'support': 144}","{'precision': 0.8829787234042553, 'recall': 0.7186147186147186, 'f1-score': 0.7923627684964201, 'support': 462}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 38}","{'precision': 0.8493408662900188, 'recall': 0.6461318051575932, 'f1-score': 0.7339300244100894, 'support': 698}","{'precision': 0.5781615606464603, 'recall': 0.41807960557960555, 'f1-score': 0.46704484255862705, 'support': 698}","{'precision': 0.7959498550963715, 'recall': 0.6461318051575932, 'f1-score': 0.7064496644011015, 'support': 698}",0.02466169185936451,212,0.011495410464704037
"{'precision': 0.6428571428571429, 'recall': 0.3333333333333333, 'f1-score': 0.43902439024390244, 'support': 54}","{'precision': 0.743421052631579, 'recall': 0.7847222222222222, 'f1-score': 0.7635135135135136, 'support': 144}","{'precision': 0.8925619834710744, 'recall': 0.7012987012987013, 'f1-score': 0.7854545454545454, 'support': 462}","{'precision': 0.6363636363636364, 'recall': 0.18421052631578946, 'f1-score': 0.2857142857142857, 'support': 38}","{'precision': 0.8339350180505415, 'recall': 0.66189111747851, 'f1-score': 0.7380191693290733, 'support': 698}","{'precision': 0.7288009538308582, 'recall': 0.5008911957925116, 'f1-score': 0.5684266837315618, 'support': 698}","{'precision': 0.8285277533505553, 'recall': 0.66189111747851, 'f1-score': 0.7269203522582515, 'support': 698}",0.04220754653215408,265,0.009935000911355019
"{'precision': 0.5789473684210527, 'recall': 0.4074074074074074, 'f1-score': 0.47826086956521735, 'support': 54}","{'precision': 0.8508771929824561, 'recall': 0.6736111111111112, 'f1-score': 0.7519379844961241, 'support': 144}","{'precision': 0.883008356545961, 'recall': 0.6861471861471862, 'f1-score': 0.7722289890377588, 'support': 462}","{'precision': 0.7142857142857143, 'recall': 0.2631578947368421, 'f1-score': 0.3846153846153846, 'support': 38}","{'precision': 0.8495238095238096, 'recall': 0.6389684813753582, 'f1-score': 0.7293540474243664, 'support': 698}","{'precision': 0.756779658058796, 'recall': 0.5075808998506367, 'f1-score': 0.5967608069286212, 'support': 698}","{'precision': 0.843670761534816, 'recall': 0.6389684813753582, 'f1-score': 0.7241981866401044, 'support': 698}",0.026914630085229874,318,0.005871498957276344
"{'precision': 0.5526315789473685, 'recall': 0.3888888888888889, 'f1-score': 0.4565217391304348, 'support': 54}","{'precision': 0.7443181818181818, 'recall': 0.9097222222222222, 'f1-score': 0.81875, 'support': 144}","{'precision': 0.9006024096385542, 'recall': 0.6471861471861472, 'f1-score': 0.7531486146095718, 'support': 462}","{'precision': 0.7777777777777778, 'recall': 0.3684210526315789, 'f1-score': 0.5, 'support': 38}","{'precision': 0.824468085106383, 'recall': 0.666189111747851, 'f1-score': 0.7369255150554677, 'support': 698}","{'precision': 0.7438324870454706, 'recall': 0.5785545777322093, 'f1-score': 0.6321050884350017, 'support': 698}","{'precision': 0.8347532840308649, 'recall': 0.666189111747851, 'f1-score': 0.7299524840439335, 'support': 698}",0.02570805512368679,371,0.0036177735310047865
"{'precision': 0.559322033898305, 'recall': 0.6111111111111112, 'f1-score': 0.5840707964601771, 'support': 54}","{'precision': 0.694300518134715, 'recall': 0.9305555555555556, 'f1-score': 0.7952522255192879, 'support': 144}","{'precision': 0.9125364431486881, 'recall': 0.6774891774891775, 'f1-score': 0.7776397515527951, 'support': 462}","{'precision': 0.7647058823529411, 'recall': 0.34210526315789475, 'f1-score': 0.4727272727272727, 'support': 38}","{'precision': 0.8055555555555556, 'recall': 0.7063037249283668, 'f1-score': 0.7526717557251908, 'support': 698}","{'precision': 0.7327162193836624, 'recall': 0.6403152768284347, 'f1-score': 0.6574225115648832, 'support': 698}","{'precision': 0.8321394336762364, 'recall': 0.7063037249283668, 'f1-score': 0.7496982020983592, 'support': 698}",0.012063652276992798,424,0.003504008986055851
"{'precision': 0.574468085106383, 'recall': 0.5, 'f1-score': 0.5346534653465347, 'support': 54}","{'precision': 0.8294573643410853, 'recall': 0.7430555555555556, 'f1-score': 0.7838827838827839, 'support': 144}","{'precision': 0.884180790960452, 'recall': 0.6774891774891775, 'f1-score': 0.767156862745098, 'support': 462}","{'precision': 0.7692307692307693, 'recall': 0.5263157894736842, 'f1-score': 0.625, 'support': 38}","{'precision': 0.8399280575539568, 'recall': 0.669054441260745, 'f1-score': 0.7448165869218502, 'support': 698}","{'precision': 0.7643342524096723, 'recall': 0.6117151306296043, 'f1-score': 0.6776732779936041, 'support': 698}","{'precision': 0.8426725382741534, 'recall': 0.669054441260745, 'f1-score': 0.7448809148940816, 'support': 698}",0.010378609411418438,477,0.0015577308367937803
