EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.6105815172195435,132,0.6606743931770325
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.25591394305229187,263,0.30452102422714233
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.9315068493150684, 'recall': 0.1504424778761062, 'f1-score': 0.2590476190476191, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.9315068493150684, 'recall': 0.10119047619047619, 'f1-score': 0.1825503355704698, 'support': 672}","{'precision': 0.2328767123287671, 'recall': 0.03761061946902655, 'f1-score': 0.06476190476190477, 'support': 672}","{'precision': 0.6265492498369211, 'recall': 0.10119047619047619, 'f1-score': 0.1742403628117914, 'support': 672}",0.1491611897945404,394,0.15515124797821045
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.984375, 'recall': 0.4701492537313433, 'f1-score': 0.6363636363636365, 'support': 134}","{'precision': 0.9438202247191011, 'recall': 0.37168141592920356, 'f1-score': 0.5333333333333333, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.9545454545454546, 'recall': 0.34375, 'f1-score': 0.5054704595185996, 'support': 672}","{'precision': 0.4820488061797753, 'recall': 0.21045766741513672, 'f1-score': 0.2924242424242425, 'support': 672}","{'precision': 0.8311205231741573, 'recall': 0.34375, 'f1-score': 0.4856240981240982, 'support': 672}",0.11396335065364838,525,0.07312460988759995
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.7549019607843137, 'recall': 0.5746268656716418, 'f1-score': 0.6525423728813559, 'support': 134}","{'precision': 0.937888198757764, 'recall': 0.668141592920354, 'f1-score': 0.780361757105943, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8938679245283019, 'recall': 0.5639880952380952, 'f1-score': 0.6916058394160585, 'support': 672}","{'precision': 0.42319753988551945, 'recall': 0.31069211464799895, 'f1-score': 0.3582260324968247, 'support': 672}","{'precision': 0.7813725127732253, 'recall': 0.5639880952380952, 'f1-score': 0.6550062383601011, 'support': 672}",0.09859789162874222,656,0.06525765359401703
"{'precision': 0.5319148936170213, 'recall': 0.46296296296296297, 'f1-score': 0.495049504950495, 'support': 54}","{'precision': 0.9174311926605505, 'recall': 0.746268656716418, 'f1-score': 0.8230452674897119, 'support': 134}","{'precision': 0.8915343915343915, 'recall': 0.745575221238938, 'f1-score': 0.8120481927710844, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8651685393258427, 'recall': 0.6875, 'f1-score': 0.7661691542288557, 'support': 672}","{'precision': 0.5852201194529908, 'recall': 0.48870171022957976, 'f1-score': 0.5325357413028228, 'support': 672}","{'precision': 0.8253463229841933, 'recall': 0.6875, 'f1-score': 0.7500989914337475, 'support': 672}",0.0817207396030426,787,0.058062825351953506
"{'precision': 0.5686274509803921, 'recall': 0.5370370370370371, 'f1-score': 0.5523809523809524, 'support': 54}","{'precision': 0.8444444444444444, 'recall': 0.8507462686567164, 'f1-score': 0.8475836431226765, 'support': 134}","{'precision': 0.851931330472103, 'recall': 0.8783185840707964, 'f1-score': 0.8649237472766885, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8282208588957055, 'recall': 0.8035714285714286, 'f1-score': 0.8157099697885197, 'support': 672}","{'precision': 0.5662508064742349, 'recall': 0.5665254724411375, 'f1-score': 0.5662220856950794, 'support': 672}","{'precision': 0.7871047608361418, 'recall': 0.8035714285714286, 'f1-score': 0.7951641568096328, 'support': 672}",0.054899174720048904,918,0.038167260587215424
"{'precision': 0.5588235294117647, 'recall': 0.35185185185185186, 'f1-score': 0.4318181818181818, 'support': 54}","{'precision': 0.8095238095238095, 'recall': 0.8880597014925373, 'f1-score': 0.8469750889679715, 'support': 134}","{'precision': 0.893719806763285, 'recall': 0.8185840707964602, 'f1-score': 0.8545034642032333, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.853781512605042, 'recall': 0.7559523809523809, 'f1-score': 0.8018942383583266, 'support': 672}","{'precision': 0.5655167864247148, 'recall': 0.5146239060352124, 'f1-score': 0.5333241837473467, 'support': 672}","{'precision': 0.8074613299426051, 'recall': 0.7559523809523809, 'f1-score': 0.7783458475591539, 'support': 672}",0.06313373893499374,1049,0.02412799932062626
"{'precision': 0.6176470588235294, 'recall': 0.3888888888888889, 'f1-score': 0.4772727272727273, 'support': 54}","{'precision': 0.823943661971831, 'recall': 0.8731343283582089, 'f1-score': 0.8478260869565217, 'support': 134}","{'precision': 0.9144385026737968, 'recall': 0.7566371681415929, 'f1-score': 0.8280871670702179, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8727272727272727, 'recall': 0.7142857142857143, 'f1-score': 0.7855973813420621, 'support': 672}","{'precision': 0.5890073058672893, 'recall': 0.5046650963471726, 'f1-score': 0.5382964953248668, 'support': 672}","{'precision': 0.8289993974542442, 'recall': 0.7142857142857143, 'f1-score': 0.764400033393809, 'support': 672}",0.024778300896286964,1180,0.02030540257692337
"{'precision': 0.6, 'recall': 0.3888888888888889, 'f1-score': 0.47191011235955055, 'support': 54}","{'precision': 0.8294573643410853, 'recall': 0.7985074626865671, 'f1-score': 0.8136882129277565, 'support': 134}","{'precision': 0.8476394849785408, 'recall': 0.8738938053097345, 'f1-score': 0.8605664488017429, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8301587301587302, 'recall': 0.7782738095238095, 'f1-score': 0.8033794162826422, 'support': 672}","{'precision': 0.5692742123299065, 'recall': 0.5153225392212977, 'f1-score': 0.5365411935222625, 'support': 672}","{'precision': 0.7837504970714374, 'recall': 0.7782738095238095, 'f1-score': 0.7790080378841114, 'support': 672}",0.034191448241472244,1311,0.02823687344789505
