EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.5925437211990356,132,0.6303367614746094
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.3120364546775818,263,0.2878567576408386
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.15961456298828125,394,0.1762704998254776
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.8617021276595744, 'recall': 0.5376106194690266, 'f1-score': 0.662125340599455, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8617021276595744, 'recall': 0.36160714285714285, 'f1-score': 0.5094339622641509, 'support': 672}","{'precision': 0.2154255319148936, 'recall': 0.13440265486725664, 'f1-score': 0.16553133514986376, 'support': 672}","{'precision': 0.57959726443769, 'recall': 0.36160714285714285, 'f1-score': 0.445358115998443, 'support': 672}",0.08304943144321442,525,0.11342476308345795
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.7766990291262136, 'recall': 0.5970149253731343, 'f1-score': 0.6751054852320675, 'support': 134}","{'precision': 0.8779840848806366, 'recall': 0.7323008849557522, 'f1-score': 0.7985524728588661, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.85625, 'recall': 0.6116071428571429, 'f1-score': 0.7135416666666666, 'support': 672}","{'precision': 0.4136707785017125, 'recall': 0.3323289525822216, 'f1-score': 0.36841448952273337, 'support': 672}","{'precision': 0.7454263039716673, 'recall': 0.6116071428571429, 'f1-score': 0.6717408523114651, 'support': 672}",0.07100272923707962,656,0.0818181112408638
"{'precision': 0.8888888888888888, 'recall': 0.14814814814814814, 'f1-score': 0.25396825396825395, 'support': 54}","{'precision': 0.9166666666666666, 'recall': 0.7388059701492538, 'f1-score': 0.8181818181818182, 'support': 134}","{'precision': 0.8601036269430051, 'recall': 0.7345132743362832, 'f1-score': 0.79236276849642, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8727634194831014, 'recall': 0.6532738095238095, 'f1-score': 0.7472340425531916, 'support': 672}","{'precision': 0.6664147956246401, 'recall': 0.4053668481584213, 'f1-score': 0.4661282101616231, 'support': 672}","{'precision': 0.8327383522493625, 'recall': 0.6532738095238095, 'f1-score': 0.7165158046295106, 'support': 672}",0.055274415761232376,787,0.05168597027659416
"{'precision': 0.5416666666666666, 'recall': 0.24074074074074073, 'f1-score': 0.33333333333333337, 'support': 54}","{'precision': 0.9181818181818182, 'recall': 0.753731343283582, 'f1-score': 0.8278688524590164, 'support': 134}","{'precision': 0.9310344827586207, 'recall': 0.5973451327433629, 'f1-score': 0.7277628032345014, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.9056603773584906, 'recall': 0.5714285714285714, 'f1-score': 0.7007299270072993, 'support': 672}","{'precision': 0.5977207419017764, 'recall': 0.3979543041919214, 'f1-score': 0.4722412472567128, 'support': 672}","{'precision': 0.8528481396477086, 'recall': 0.5714285714285714, 'f1-score': 0.6813738293028315, 'support': 672}",0.06514948606491089,918,0.045022912323474884
"{'precision': 0.5806451612903226, 'recall': 0.3333333333333333, 'f1-score': 0.4235294117647058, 'support': 54}","{'precision': 0.8394160583941606, 'recall': 0.8582089552238806, 'f1-score': 0.8487084870848708, 'support': 134}","{'precision': 0.8692307692307693, 'recall': 0.75, 'f1-score': 0.8052256532066508, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8458781362007168, 'recall': 0.7023809523809523, 'f1-score': 0.767479674796748, 'support': 672}","{'precision': 0.5723229972288131, 'recall': 0.4853855721393035, 'f1-score': 0.5193658880140568, 'support': 672}","{'precision': 0.7987037175994086, 'recall': 0.7023809523809523, 'f1-score': 0.7448802392173706, 'support': 672}",0.027025802060961723,1049,0.03894622623920441
"{'precision': 0.5135135135135135, 'recall': 0.35185185185185186, 'f1-score': 0.4175824175824176, 'support': 54}","{'precision': 0.8934426229508197, 'recall': 0.8134328358208955, 'f1-score': 0.8515625, 'support': 134}","{'precision': 0.9, 'recall': 0.7765486725663717, 'f1-score': 0.833729216152019, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8724954462659381, 'recall': 0.7127976190476191, 'f1-score': 0.7846027846027847, 'support': 672}","{'precision': 0.5767390341160833, 'recall': 0.4854583400597798, 'f1-score': 0.5257185334336092, 'support': 672}","{'precision': 0.8247783351266958, 'recall': 0.7127976190476191, 'f1-score': 0.7641434988841714, 'support': 672}",0.028833827003836632,1180,0.023384256288409233
"{'precision': 0.5531914893617021, 'recall': 0.48148148148148145, 'f1-score': 0.5148514851485149, 'support': 54}","{'precision': 0.8592592592592593, 'recall': 0.8656716417910447, 'f1-score': 0.862453531598513, 'support': 134}","{'precision': 0.9078947368421053, 'recall': 0.7632743362831859, 'f1-score': 0.8293269230769231, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8665480427046264, 'recall': 0.7247023809523809, 'f1-score': 0.7893030794165317, 'support': 672}","{'precision': 0.5800863713657667, 'recall': 0.527606864888928, 'f1-score': 0.5516579849559877, 'support': 672}","{'precision': 0.8264605687781315, 'recall': 0.7247023809523809, 'f1-score': 0.771170420629449, 'support': 672}",0.06064091995358467,1311,0.03325740993022919
