EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 135}","{'precision': 0.6834264432029795, 'recall': 0.8137472283813747, 'f1-score': 0.742914979757085, 'support': 451}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.6834264432029795, 'recall': 0.5461309523809523, 'f1-score': 0.6071133167907361, 'support': 672}","{'precision': 0.17085661080074488, 'recall': 0.20343680709534367, 'f1-score': 0.18572874493927125, 'support': 672}","{'precision': 0.45866863970914246, 'recall': 0.5461309523809523, 'f1-score': 0.4985932379024484, 'support': 672}",0.031169185414910316,125,0.03966996446251869
"{'precision': 0.8, 'recall': 0.8148148148148148, 'f1-score': 0.8073394495412846, 'support': 54}","{'precision': 0.64, 'recall': 0.5925925925925926, 'f1-score': 0.6153846153846153, 'support': 135}","{'precision': 0.9676025917926566, 'recall': 0.9933481152993349, 'f1-score': 0.9803063457330415, 'support': 451}","{'precision': 0.9117647058823529, 'recall': 0.96875, 'f1-score': 0.9393939393939394, 'support': 32}","{'precision': 0.8906942392909897, 'recall': 0.8973214285714286, 'f1-score': 0.8939955522609341, 'support': 672}","{'precision': 0.8298418244187523, 'recall': 0.8423763806766855, 'f1-score': 0.8356060875132202, 'support': 672}","{'precision': 0.8856625587600051, 'recall': 0.8973214285714286, 'f1-score': 0.8911488412773216, 'support': 672}",0.007468690164387226,250,0.025226721540093422
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.5659574468085107, 'recall': 0.9851851851851852, 'f1-score': 0.7189189189189189, 'support': 135}","{'precision': 0.9783080260303688, 'recall': 1.0, 'f1-score': 0.9890350877192984, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.8556701030927835, 'recall': 0.9880952380952381, 'f1-score': 0.9171270718232044, 'support': 672}","{'precision': 0.8860663682097198, 'recall': 0.9685185185185186, 'f1-score': 0.9122826193066131, 'support': 672}","{'precision': 0.8982457962185196, 'recall': 0.9880952380952381, 'f1-score': 0.9314470357547951, 'support': 672}",0.007978777401149273,375,0.0014580095885321498
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.6935483870967742, 'recall': 0.6370370370370371, 'f1-score': 0.6640926640926641, 'support': 135}","{'precision': 0.9756637168141593, 'recall': 0.9778270509977827, 'f1-score': 0.9767441860465116, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9253048780487805, 'recall': 0.9032738095238095, 'f1-score': 0.914156626506024, 'support': 672}","{'precision': 0.9173030259777334, 'recall': 0.8759382442309271, 'f1-score': 0.8955033301818527, 'support': 672}","{'precision': 0.9221032269959082, 'recall': 0.9032738095238095, 'f1-score': 0.9121840282310284, 'support': 672}",0.0028310581110417843,500,0.003753456985577941
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.9454545454545454, 'recall': 0.7703703703703704, 'f1-score': 0.8489795918367345, 'support': 135}","{'precision': 0.947136563876652, 'recall': 0.9534368070953437, 'f1-score': 0.9502762430939226, 'support': 451}","{'precision': 0.96875, 'recall': 0.96875, 'f1-score': 0.96875, 'support': 32}","{'precision': 0.9518633540372671, 'recall': 0.9122023809523809, 'f1-score': 0.9316109422492401, 'support': 672}","{'precision': 0.9653352773327993, 'recall': 0.8953615165886507, 'f1-score': 0.927295576379723, 'support': 672}","{'precision': 0.9520758243225202, 'recall': 0.9122023809523809, 'f1-score': 0.9300749403944686, 'support': 672}",0.0008297943277284503,625,0.00240952312014997
"{'precision': 1.0, 'recall': 0.9444444444444444, 'f1-score': 0.9714285714285714, 'support': 54}","{'precision': 0.9469026548672567, 'recall': 0.7925925925925926, 'f1-score': 0.8629032258064516, 'support': 135}","{'precision': 0.9933774834437086, 'recall': 0.9977827050997783, 'f1-score': 0.995575221238938, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9861325115562404, 'recall': 0.9523809523809523, 'f1-score': 0.9689629068887208, 'support': 672}","{'precision': 0.9850700345777412, 'recall': 0.9337049355342038, 'f1-score': 0.9574767546184902, 'support': 672}","{'precision': 0.9848885467860004, 'recall': 0.9523809523809523, 'f1-score': 0.9671927129758556, 'support': 672}",0.0007119631045497954,750,0.003781019477173686
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.8278145695364238, 'recall': 0.9259259259259259, 'f1-score': 0.8741258741258742, 'support': 135}","{'precision': 0.9799554565701559, 'recall': 0.975609756097561, 'f1-score': 0.9777777777777779, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9485294117647058, 'recall': 0.9598214285714286, 'f1-score': 0.9541420118343196, 'support': 672}","{'precision': 0.9519425065266449, 'recall': 0.947606142728094, 'f1-score': 0.9482700306229719, 'support': 672}","{'precision': 0.9519566633936869, 'recall': 0.9598214285714286, 'f1-score': 0.9550718752924636, 'support': 672}",0.0011702491901814938,875,0.005007830914109945
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.7191011235955056, 'recall': 0.9481481481481482, 'f1-score': 0.8178913738019169, 'support': 135}","{'precision': 1.0, 'recall': 0.9955654101995566, 'f1-score': 0.9977777777777778, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9292786421499293, 'recall': 0.9776785714285714, 'f1-score': 0.95286439448876, 'support': 672}","{'precision': 0.9297752808988764, 'recall': 0.9581506118091484, 'f1-score': 0.9392114055419825, 'support': 672}","{'precision': 0.9435694221508827, 'recall': 0.9776785714285714, 'f1-score': 0.9571973849000018, 'support': 672}",0.0006061891326680779,1000,0.0008757527684792876
"{'precision': 1.0, 'recall': 0.9444444444444444, 'f1-score': 0.9714285714285714, 'support': 54}","{'precision': 0.8571428571428571, 'recall': 0.8, 'f1-score': 0.8275862068965518, 'support': 135}","{'precision': 0.9889624724061811, 'recall': 0.9933481152993349, 'f1-score': 0.9911504424778762, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9652567975830816, 'recall': 0.9508928571428571, 'f1-score': 0.9580209895052474, 'support': 672}","{'precision': 0.9615263323872596, 'recall': 0.9344481399359448, 'f1-score': 0.9475413052007499, 'support': 672}","{'precision': 0.9638933940021924, 'recall': 0.9508928571428571, 'f1-score': 0.957128170157291, 'support': 672}",0.01851714588701725,1125,0.0010455910814926028
"{'precision': 1.0, 'recall': 0.9259259259259259, 'f1-score': 0.9615384615384615, 'support': 54}","{'precision': 0.6864864864864865, 'recall': 0.9407407407407408, 'f1-score': 0.7937500000000001, 'support': 135}","{'precision': 0.9866962305986696, 'recall': 0.9866962305986696, 'f1-score': 0.9866962305986696, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9108635097493036, 'recall': 0.9732142857142857, 'f1-score': 0.9410071942446044, 'support': 672}","{'precision': 0.9182956792712891, 'recall': 0.9633407243163341, 'f1-score': 0.9354961730342828, 'support': 672}","{'precision': 0.928088803088803, 'recall': 0.9732142857142857, 'f1-score': 0.946546617445055, 'support': 672}",0.0003196618054062128,1250,0.0008206598577089608
"{'precision': 0.8412698412698413, 'recall': 0.9814814814814815, 'f1-score': 0.905982905982906, 'support': 54}","{'precision': 0.7239263803680982, 'recall': 0.8740740740740741, 'f1-score': 0.7919463087248323, 'support': 135}","{'precision': 0.9118942731277533, 'recall': 0.917960088691796, 'f1-score': 0.9149171270718232, 'support': 451}","{'precision': 0.9411764705882353, 'recall': 1.0, 'f1-score': 0.9696969696969697, 'support': 32}","{'precision': 0.8641456582633054, 'recall': 0.9181547619047619, 'f1-score': 0.8903318903318904, 'support': 672}","{'precision': 0.8545667413384821, 'recall': 0.9433789110618379, 'f1-score': 0.8956358278691328, 'support': 672}","{'precision': 0.8698520788953943, 'recall': 0.9181547619047619, 'f1-score': 0.8921038034830722, 'support': 672}",0.00036687153624370694,1375,0.005045371595770121
"{'precision': 0.9807692307692307, 'recall': 0.9444444444444444, 'f1-score': 0.9622641509433962, 'support': 54}","{'precision': 0.7010869565217391, 'recall': 0.9555555555555556, 'f1-score': 0.8087774294670846, 'support': 135}","{'precision': 0.9085106382978724, 'recall': 0.9467849223946785, 'f1-score': 0.9272529858849077, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.8658536585365854, 'recall': 0.9508928571428571, 'f1-score': 0.9063829787234041, 'support': 672}","{'precision': 0.8975917063972105, 'recall': 0.9616962305986696, 'f1-score': 0.9245736415738471, 'support': 672}","{'precision': 0.8770038325361811, 'recall': 0.9508928571428571, 'f1-score': 0.9097296335760315, 'support': 672}",0.0023803042713552713,1500,0.0001910962600959465
"{'precision': 1.0, 'recall': 0.9444444444444444, 'f1-score': 0.9714285714285714, 'support': 54}","{'precision': 0.7945205479452054, 'recall': 0.8592592592592593, 'f1-score': 0.8256227758007118, 'support': 135}","{'precision': 0.98, 'recall': 0.9778270509977827, 'f1-score': 0.978912319644839, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9425625920471281, 'recall': 0.9523809523809523, 'f1-score': 0.9474463360473723, 'support': 672}","{'precision': 0.9436301369863014, 'recall': 0.9453826886753716, 'f1-score': 0.9439909167185305, 'support': 672}","{'precision': 0.9452980267449446, 'recall': 0.9523809523809523, 'f1-score': 0.9485203478423533, 'support': 672}",0.00012142526975367218,1625,0.0016145012341439724
"{'precision': 1.0, 'recall': 0.9444444444444444, 'f1-score': 0.9714285714285714, 'support': 54}","{'precision': 0.7948717948717948, 'recall': 0.9185185185185185, 'f1-score': 0.852233676975945, 'support': 135}","{'precision': 0.9621380846325167, 'recall': 0.9578713968957872, 'f1-score': 0.9600000000000001, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9287790697674418, 'recall': 0.9508928571428571, 'f1-score': 0.9397058823529412, 'support': 672}","{'precision': 0.9392524698760778, 'recall': 0.9552085899646875, 'f1-score': 0.9459155621011291, 'support': 672}","{'precision': 0.9333809054716627, 'recall': 0.9508928571428571, 'f1-score': 0.9411736447156182, 'support': 672}",0.005079495720565319,1750,0.0013064707163721323
