EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 135}","{'precision': 0.5769828926905132, 'recall': 0.8226164079822617, 'f1-score': 0.6782449725776964, 'support': 451}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.5769828926905132, 'recall': 0.5520833333333334, 'f1-score': 0.5642585551330798, 'support': 672}","{'precision': 0.1442457231726283, 'recall': 0.2056541019955654, 'f1-score': 0.1695612431444241, 'support': 672}","{'precision': 0.38723107827890096, 'recall': 0.5520833333333334, 'f1-score': 0.4551911943936623, 'support': 672}",0.02787279151380062,125,0.04160090163350105
"{'precision': 0.9591836734693877, 'recall': 0.8703703703703703, 'f1-score': 0.912621359223301, 'support': 54}","{'precision': 0.6144578313253012, 'recall': 0.7555555555555555, 'f1-score': 0.6777408637873754, 'support': 135}","{'precision': 0.9739696312364425, 'recall': 0.9955654101995566, 'f1-score': 0.9846491228070176, 'support': 451}","{'precision': 0.967741935483871, 'recall': 0.9375, 'f1-score': 0.9523809523809523, 'support': 32}","{'precision': 0.8882602545968883, 'recall': 0.9345238095238095, 'f1-score': 0.9108049311094997, 'support': 672}","{'precision': 0.8788382678787506, 'recall': 0.8897478340313706, 'f1-score': 0.8818480745496615, 'support': 672}","{'precision': 0.9002615643145566, 'recall': 0.9345238095238095, 'f1-score': 0.9156689209397461, 'support': 672}",0.0062049273401498795,250,0.008602621033787727
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.860655737704918, 'recall': 0.7777777777777778, 'f1-score': 0.8171206225680934, 'support': 135}","{'precision': 0.9977827050997783, 'recall': 0.9977827050997783, 'f1-score': 0.9977827050997783, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9724349157733537, 'recall': 0.9449404761904762, 'f1-score': 0.9584905660377359, 'support': 672}","{'precision': 0.9646096107011741, 'recall': 0.9161123429416111, 'f1-score': 0.9390199495640268, 'support': 672}","{'precision': 0.9705186377829821, 'recall': 0.9449404761904762, 'f1-score': 0.9570458533607995, 'support': 672}",0.0016686111921444535,375,0.009491218253970146
"{'precision': 0.9387755102040817, 'recall': 0.8518518518518519, 'f1-score': 0.8932038834951458, 'support': 54}","{'precision': 0.754601226993865, 'recall': 0.9111111111111111, 'f1-score': 0.8255033557046979, 'support': 135}","{'precision': 0.9666666666666667, 'recall': 0.9645232815964523, 'f1-score': 0.9655937846836848, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9164265129682997, 'recall': 0.9464285714285714, 'f1-score': 0.931185944363104, 'support': 672}","{'precision': 0.9150108509661533, 'recall': 0.9318715611398538, 'f1-score': 0.9210752559708821, 'support': 672}","{'precision': 0.9234102825325281, 'recall': 0.9464285714285714, 'f1-score': 0.9332719637220445, 'support': 672}",0.0011802995577454567,500,0.0020338946487754583
"{'precision': 1.0, 'recall': 0.9259259259259259, 'f1-score': 0.9615384615384615, 'support': 54}","{'precision': 0.7638888888888888, 'recall': 0.8148148148148148, 'f1-score': 0.7885304659498207, 'support': 135}","{'precision': 0.9867549668874173, 'recall': 0.991130820399113, 'f1-score': 0.9889380530973451, 'support': 451}","{'precision': 0.96875, 'recall': 0.96875, 'f1-score': 0.96875, 'support': 32}","{'precision': 0.9396170839469808, 'recall': 0.9494047619047619, 'f1-score': 0.9444855662472242, 'support': 672}","{'precision': 0.9298484639440765, 'recall': 0.9251553902849634, 'f1-score': 0.9269392451464068, 'support': 672}","{'precision': 0.9421897173604541, 'recall': 0.9494047619047619, 'f1-score': 0.9455145115672698, 'support': 672}",0.0032585980370640755,625,0.0006129486137069762
"{'precision': 0.9622641509433962, 'recall': 0.9444444444444444, 'f1-score': 0.9532710280373832, 'support': 54}","{'precision': 0.7777777777777778, 'recall': 0.8814814814814815, 'f1-score': 0.8263888888888888, 'support': 135}","{'precision': 0.9868131868131869, 'recall': 0.9955654101995566, 'f1-score': 0.9911699779249449, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9393939393939394, 'recall': 0.96875, 'f1-score': 0.9538461538461539, 'support': 672}","{'precision': 0.9317137788835902, 'recall': 0.9553728340313706, 'f1-score': 0.9427074737128042, 'support': 672}","{'precision': 0.9434747193507301, 'recall': 0.96875, 'f1-score': 0.9554416600567988, 'support': 672}",0.007855700328946114,750,0.0010838524904102087
"{'precision': 1.0, 'recall': 0.8888888888888888, 'f1-score': 0.9411764705882353, 'support': 54}","{'precision': 0.7960526315789473, 'recall': 0.8962962962962963, 'f1-score': 0.8432055749128918, 'support': 135}","{'precision': 0.9955357142857143, 'recall': 0.9889135254988913, 'f1-score': 0.9922135706340378, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9514705882352941, 'recall': 0.9627976190476191, 'f1-score': 0.9571005917159763, 'support': 672}","{'precision': 0.9478970864661654, 'recall': 0.9435246776710191, 'f1-score': 0.9441489040337913, 'support': 672}","{'precision': 0.9560323101279986, 'recall': 0.9627976190476191, 'f1-score': 0.9585485154478514, 'support': 672}",0.0005541924620047212,875,0.003204832784831524
"{'precision': 1.0, 'recall': 0.9074074074074074, 'f1-score': 0.9514563106796117, 'support': 54}","{'precision': 0.7426900584795322, 'recall': 0.9407407407407408, 'f1-score': 0.8300653594771241, 'support': 135}","{'precision': 0.9933481152993349, 'recall': 0.9933481152993349, 'f1-score': 0.9933481152993349, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9331436699857752, 'recall': 0.9761904761904762, 'f1-score': 0.9541818181818182, 'support': 672}","{'precision': 0.9340095434447168, 'recall': 0.9603740658618707, 'f1-score': 0.9437174463640177, 'support': 672}","{'precision': 0.9438439849624061, 'recall': 0.9761904761904762, 'f1-score': 0.9574962266459982, 'support': 672}",0.0005743016954511404,1000,0.00023805542150512338
"{'precision': 1.0, 'recall': 0.9629629629629629, 'f1-score': 0.9811320754716981, 'support': 54}","{'precision': 0.6898395721925134, 'recall': 0.9555555555555556, 'f1-score': 0.8012422360248447, 'support': 135}","{'precision': 0.9977876106194691, 'recall': 1.0, 'f1-score': 0.9988925802879292, 'support': 451}","{'precision': 0.96875, 'recall': 0.96875, 'f1-score': 0.96875, 'support': 32}","{'precision': 0.91701244813278, 'recall': 0.9866071428571429, 'f1-score': 0.9505376344086022, 'support': 672}","{'precision': 0.9140942957029956, 'recall': 0.9718171296296296, 'f1-score': 0.9375042229461179, 'support': 672}","{'precision': 0.9347180872550147, 'recall': 0.9866071428571429, 'f1-score': 0.9563234935248242, 'support': 672}",0.00019091510330326855,1125,0.00030311133014038205
"{'precision': 1.0, 'recall': 0.9259259259259259, 'f1-score': 0.9615384615384615, 'support': 54}","{'precision': 0.7142857142857143, 'recall': 0.9629629629629629, 'f1-score': 0.8201892744479495, 'support': 135}","{'precision': 0.9977827050997783, 'recall': 0.9977827050997783, 'f1-score': 0.9977827050997783, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9258741258741259, 'recall': 0.9851190476190477, 'f1-score': 0.9545782263878875, 'support': 672}","{'precision': 0.9280171048463732, 'recall': 0.9716678984971667, 'f1-score': 0.9448776102715473, 'support': 672}","{'precision': 0.9411139455782314, 'recall': 0.9851190476190477, 'f1-score': 0.9592985550201638, 'support': 672}",0.00019775154942180961,1250,0.00023374365991912782
