EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 135}","{'precision': 0.6335740072202166, 'recall': 0.7782705099778271, 'f1-score': 0.6985074626865672, 'support': 451}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.6335740072202166, 'recall': 0.5223214285714286, 'f1-score': 0.5725938009787929, 'support': 672}","{'precision': 0.15839350180505415, 'recall': 0.19456762749445677, 'f1-score': 0.1746268656716418, 'support': 672}","{'precision': 0.4252111268695204, 'recall': 0.5223214285714286, 'f1-score': 0.4687899786780384, 'support': 672}",0.025365673005580902,125,0.026466423645615578
"{'precision': 0.4205607476635514, 'recall': 0.8333333333333334, 'f1-score': 0.5590062111801242, 'support': 54}","{'precision': 0.5, 'recall': 0.5703703703703704, 'f1-score': 0.5328719723183392, 'support': 135}","{'precision': 0.9497816593886463, 'recall': 0.9645232815964523, 'f1-score': 0.9570957095709571, 'support': 451}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.7746870653685675, 'recall': 0.8288690476190477, 'f1-score': 0.800862688713156, 'support': 672}","{'precision': 0.4675856017630494, 'recall': 0.592056746325039, 'f1-score': 0.5122434732673551, 'support': 672}","{'precision': 0.7716693582709989, 'recall': 0.8288690476190477, 'f1-score': 0.7943068700642919, 'support': 672}",0.011407485231757164,250,0.005310951732099056
"{'precision': 0.9787234042553191, 'recall': 0.8518518518518519, 'f1-score': 0.9108910891089108, 'support': 54}","{'precision': 0.8846153846153846, 'recall': 0.5111111111111111, 'f1-score': 0.6478873239436619, 'support': 135}","{'precision': 0.9602649006622517, 'recall': 0.9645232815964523, 'f1-score': 0.9623893805309733, 'support': 451}","{'precision': 0.8928571428571429, 'recall': 0.78125, 'f1-score': 0.8333333333333334, 'support': 32}","{'precision': 0.9488448844884488, 'recall': 0.8556547619047619, 'f1-score': 0.8998435054773083, 'support': 672}","{'precision': 0.9291152080975246, 'recall': 0.7771840611398538, 'f1-score': 0.8386252817292199, 'support': 672}","{'precision': 0.9433408326234646, 'recall': 0.8556547619047619, 'f1-score': 0.8889243821881119, 'support': 672}",0.003099349793046713,375,0.002715678885579109
"{'precision': 0.9787234042553191, 'recall': 0.8518518518518519, 'f1-score': 0.9108910891089108, 'support': 54}","{'precision': 0.7591240875912408, 'recall': 0.7703703703703704, 'f1-score': 0.7647058823529412, 'support': 135}","{'precision': 0.9778270509977827, 'recall': 0.9778270509977827, 'f1-score': 0.9778270509977827, 'support': 451}","{'precision': 0.9696969696969697, 'recall': 1.0, 'f1-score': 0.9846153846153847, 'support': 32}","{'precision': 0.9326347305389222, 'recall': 0.9270833333333334, 'f1-score': 0.9298507462686568, 'support': 672}","{'precision': 0.9213428781353281, 'recall': 0.9000123183050013, 'f1-score': 0.9095098517687548, 'support': 672}","{'precision': 0.9335760694715889, 'recall': 0.9270833333333334, 'f1-score': 0.929957001841102, 'support': 672}",0.005709376651793718,500,0.0030949062202125788
"{'precision': 0.9583333333333334, 'recall': 0.8518518518518519, 'f1-score': 0.9019607843137256, 'support': 54}","{'precision': 0.95, 'recall': 0.7037037037037037, 'f1-score': 0.8085106382978724, 'support': 135}","{'precision': 0.9253731343283582, 'recall': 0.9623059866962306, 'f1-score': 0.9434782608695652, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9352850539291218, 'recall': 0.9032738095238095, 'f1-score': 0.919000757002271, 'support': 672}","{'precision': 0.9584266169154229, 'recall': 0.8794653855629465, 'f1-score': 0.9134874208702908, 'support': 672}","{'precision': 0.9365227434257284, 'recall': 0.9032738095238095, 'f1-score': 0.9157195151418569, 'support': 672}",0.004855252802371979,625,0.0011581978760659695
"{'precision': 1.0, 'recall': 0.8703703703703703, 'f1-score': 0.9306930693069307, 'support': 54}","{'precision': 0.7531645569620253, 'recall': 0.8814814814814815, 'f1-score': 0.8122866894197952, 'support': 135}","{'precision': 0.9868131868131869, 'recall': 0.9955654101995566, 'f1-score': 0.9911699779249449, 'support': 451}","{'precision': 1.0, 'recall': 0.96875, 'f1-score': 0.9841269841269841, 'support': 32}","{'precision': 0.934876989869754, 'recall': 0.9613095238095238, 'f1-score': 0.9479090242112985, 'support': 672}","{'precision': 0.934994435943803, 'recall': 0.9290418155128521, 'f1-score': 0.9295691801946637, 'support': 672}","{'precision': 0.9415624441110427, 'recall': 0.9613095238095238, 'f1-score': 0.9500384707596135, 'support': 672}",0.004942589905112982,750,0.0009230818250216544
"{'precision': 1.0, 'recall': 0.8703703703703703, 'f1-score': 0.9306930693069307, 'support': 54}","{'precision': 0.875, 'recall': 0.7777777777777778, 'f1-score': 0.823529411764706, 'support': 135}","{'precision': 0.9613733905579399, 'recall': 0.9933481152993349, 'f1-score': 0.9770992366412213, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9503759398496241, 'recall': 0.9404761904761905, 'f1-score': 0.9454001495886313, 'support': 672}","{'precision': 0.959093347639485, 'recall': 0.9103740658618708, 'f1-score': 0.9328304294282145, 'support': 672}","{'precision': 0.9489648796750461, 'recall': 0.9404761904761905, 'f1-score': 0.9436096012738101, 'support': 672}",0.0007295890827663243,875,0.0019224751740694046
"{'precision': 1.0, 'recall': 0.8703703703703703, 'f1-score': 0.9306930693069307, 'support': 54}","{'precision': 0.7049180327868853, 'recall': 0.9555555555555556, 'f1-score': 0.8113207547169811, 'support': 135}","{'precision': 0.9821428571428571, 'recall': 0.975609756097561, 'f1-score': 0.9788654060066739, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9126760563380282, 'recall': 0.9642857142857143, 'f1-score': 0.9377713458755427, 'support': 672}","{'precision': 0.9217652224824356, 'recall': 0.9503839205058717, 'f1-score': 0.9302198075076464, 'support': 672}","{'precision': 0.9287356592227054, 'recall': 0.9642857142857143, 'f1-score': 0.9423423002059176, 'support': 672}",0.00047018760233186185,1000,0.0003196205070707947
"{'precision': 1.0, 'recall': 0.9259259259259259, 'f1-score': 0.9615384615384615, 'support': 54}","{'precision': 0.7212121212121212, 'recall': 0.8814814814814815, 'f1-score': 0.7933333333333333, 'support': 135}","{'precision': 0.9754464285714286, 'recall': 0.9689578713968958, 'f1-score': 0.9721913236929922, 'support': 451}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 32}","{'precision': 0.9179856115107914, 'recall': 0.9494047619047619, 'f1-score': 0.9334308705193854, 'support': 672}","{'precision': 0.9241646374458874, 'recall': 0.9440913197010758, 'f1-score': 0.9317657796411967, 'support': 672}","{'precision': 0.9275148447162957, 'recall': 0.9494047619047619, 'f1-score': 0.9367282201021079, 'support': 672}",0.0053266799077391624,1125,0.0003136162122245878
"{'precision': 1.0, 'recall': 0.9444444444444444, 'f1-score': 0.9714285714285714, 'support': 54}","{'precision': 0.7515923566878981, 'recall': 0.8740740740740741, 'f1-score': 0.8082191780821919, 'support': 135}","{'precision': 0.9866071428571429, 'recall': 0.9800443458980045, 'f1-score': 0.9833147942157954, 'support': 451}","{'precision': 0.96875, 'recall': 0.96875, 'f1-score': 0.96875, 'support': 32}","{'precision': 0.9331395348837209, 'recall': 0.9553571428571429, 'f1-score': 0.9441176470588235, 'support': 672}","{'precision': 0.9267373748862603, 'recall': 0.9418282161041307, 'f1-score': 0.9329281359316397, 'support': 672}","{'precision': 0.9396202225914252, 'recall': 0.9553571428571429, 'f1-score': 0.9464906310856585, 'support': 672}",0.004046868998557329,1250,0.0003931948449462652
